,ResponseId,overall_score,n_graded,n_ungraded,n_total,mean_score_per_item
0,R_5vQ6Xf1WugueDND,29.261904761904763,14,1,15,1.9507936507936507
1,R_6D6PBkrChss508l,30.166666666666668,13,2,15,2.011111111111111
2,R_53qZezuj1Aowmel,25.142857142857142,15,0,15,1.6761904761904762
3,R_6hazd14Iv0vRJV7,28.380952380952383,15,0,15,1.8920634920634922
4,R_5KpdGyLKCFDJS5r,28.47619047619047,15,0,15,1.898412698412698
5,R_59txcXaWbmO04SW,27.62857142857143,7,8,15,1.841904761904762
6,R_6Eu2oR7CwVBRwyp,37.03333333333333,11,4,15,2.468888888888889
7,R_5hfsgpVmDBRxfr5,41.00000000000001,15,0,15,2.733333333333334
8,R_7LLF8qLJV3UgQE1,40.86666666666667,15,0,15,2.7244444444444444
9,R_78Z3gy1mcpQ6lpQ,50.82380952380953,12,3,15,3.3882539682539687
10,R_5WU8WIr7pguhYVA,43.23809523809524,15,0,15,2.8825396825396825
11,R_7iswQke6K35dZLP,38.457142857142856,14,1,15,2.5638095238095238
12,R_6g0EFev6t4FKlcE,29.30952380952381,15,0,15,1.953968253968254
13,R_5mBwuHcjIHstC01,36.88095238095238,15,0,15,2.4587301587301584
14,R_7sEXibfidLgmOWd,44.419047619047625,10,5,15,2.9612698412698415
15,R_7Y5oIYgYMSPPwIa,34.85714285714286,14,1,15,2.323809523809524
16,R_3Jd1uTp9gkuwtOx,29.333333333333336,14,1,15,1.9555555555555557
17,R_1NOosR37pJud2UA,41.46666666666667,13,2,15,2.7644444444444445
18,R_16SaFYG3hG62QF3,32.952380952380956,15,0,15,2.196825396825397
19,R_5Phftz7eKxQRBg1,43.76190476190476,15,0,15,2.9174603174603173
20,R_5hxwR1AIkCiK5YQ,24.666666666666664,13,2,15,1.6444444444444444
21,R_7jrDLd1FIMqRkxj,38.89047619047619,14,1,15,2.5926984126984127
22,R_5fIoIo9ELuQ1U1M,34.6,15,0,15,2.3066666666666666
23,R_35MZhXTsEy0Q8Ct,37.41904761904761,15,0,15,2.494603174603174
24,R_6P7TbV4CF3UQq2I,25.5,13,2,15,1.7
25,R_5iOMXXK1u9zcmXQ,48.00000000000001,14,1,15,3.2000000000000006
26,R_67re1CUSK65lHix,28.66666666666666,15,0,15,1.9111111111111108
27,R_616NzOp9CQR5coo,28.404761904761905,12,3,15,1.8936507936507936
28,R_5IME3bnJF5C8vPK,38.6,15,0,15,2.5733333333333333
29,R_7D6TWTVSx8Nbnl3,42.7952380952381,14,1,15,2.853015873015873
30,R_3zpB5H3IbG7VP2T,29.966666666666665,14,1,15,1.9977777777777777
31,R_7urH6KcIAcTkWCB,43.83333333333333,14,1,15,2.922222222222222
32,R_1mczKBtg2GsAMRr,42.714285714285715,14,1,15,2.8476190476190477
33,R_3VJvcRXM4mhNG0x,59.12857142857143,15,0,15,3.941904761904762
34,R_3fZQKPrA5XxeCM0,38.13333333333333,15,0,15,2.542222222222222
35,R_6G88HMPnMd2CyLe,50.69047619047619,14,1,15,3.3793650793650793
36,R_7ikqRNbiqOG98sh,25.999999999999996,10,5,15,1.7333333333333332
37,R_3zjUkGkE3FsX1RL,35.30952380952381,15,0,15,2.353968253968254
38,R_5dnySa1ce8EsOdt,42.166666666666664,15,0,15,2.811111111111111
39,R_6VQHLZ7aMXrAeuc,30.366666666666664,15,0,15,2.0244444444444443
40,R_1PR4qXLMAceGiOt,26.666666666666668,15,0,15,1.777777777777778
41,R_7iwHIm3XZH8niBo,54.96666666666666,15,0,15,3.664444444444444
42,R_7AWa8yqYLHwffXz,27.67619047619047,15,0,15,1.8450793650793647
43,R_3qK9HL1UIzK92MG,42.50000000000001,15,0,15,2.833333333333334
44,R_6v6cp0SNipCZJqV,46.60000000000001,14,1,15,3.1066666666666674
45,R_3Wu3EGpCFW6Qbuk,42.62857142857143,12,3,15,2.8419047619047624
46,R_7rGSNqpHRRXGZWh,23.666666666666664,15,0,15,1.5777777777777777
47,R_3hrNeSuAdYDCaL7,34.89047619047619,10,5,15,2.326031746031746
48,R_5LqyB71r6ag7pal,39.86666666666667,13,2,15,2.657777777777778
49,R_7U2V9B5aP4N5bKp,34.7,13,2,15,2.3133333333333335
50,R_6NaHI4FRAJFo4fZ,30.761904761904756,15,0,15,2.05079365079365
51,R_3fkIyfPjf94dl8o,19.666666666666668,9,6,15,1.3111111111111111
52,R_7onYeAhpKiYWobL,32.24285714285714,15,0,15,2.149523809523809
53,R_1mbwAksBbHkjRxT,48.10000000000001,15,0,15,3.2066666666666674
54,R_1riWAwAgFR9OYj9,51.83333333333334,15,0,15,3.455555555555556
55,R_53wlqQMRl8RoPUR,42.95238095238095,15,0,15,2.863492063492063
56,R_6mXDO57GGpQM4Q8,55.38095238095238,15,0,15,3.692063492063492
57,R_71C2kK0ya2WVTj3,26.07142857142857,15,0,15,1.738095238095238
58,R_3NDJv5Msv9mPkGK,59.93809523809525,15,0,15,3.9958730158730167
59,R_3cl2IMba6u7Q2Nr,46.03333333333333,13,2,15,3.0688888888888886
60,R_6NWzqbX4O0AMjJv,53.300000000000004,14,1,15,3.5533333333333337
61,R_7PodChoqtIWfEkN,46.31428571428572,14,1,15,3.087619047619048
62,R_5DAIrNhtzGGUJgt,42.66666666666667,15,0,15,2.8444444444444446
63,R_1IbBFfixZh63O47,29.890476190476193,15,0,15,1.9926984126984129
64,R_3gw89p3wacWQFRn,43.30952380952382,15,0,15,2.8873015873015877
65,R_57Jf15YvbX6JX9g,50.533333333333346,13,2,15,3.3688888888888897
66,R_6ieepBYwPOcVPZO,52.31904761904763,15,0,15,3.487936507936509
67,R_6HnmuPESQ911bSs,21.333333333333336,5,10,15,1.4222222222222223
68,R_7HiuT8KLZwyWhV9,25.5,15,0,15,1.7
69,R_1LjuLUT4Y6CYGNe,56.985714285714295,15,0,15,3.7990476190476197
70,R_30x9wSvmkEmbVoB,37.357142857142854,15,0,15,2.49047619047619
71,R_5XBVD7OnUiSPYzv,55.666666666666664,14,1,15,3.711111111111111
72,R_6PA4QEiXZDENKp1,48.72380952380952,13,2,15,3.248253968253968
73,R_5fjcrirfMR1Dwul,30.34285714285714,15,0,15,2.0228571428571427
74,R_7IcV6n5DqSpqtcR,26.833333333333336,13,2,15,1.788888888888889
75,R_6XoaIFqgUFLI7kJ,41.09523809523809,12,3,15,2.7396825396825393
76,R_7JKsUnPA3jzjDRI,30.476190476190474,12,3,15,2.0317460317460316
77,R_1NxJpYzFJggITGm,32.23809523809524,15,0,15,2.1492063492063496
78,R_67jsyOVtJ4io3hM,38.67619047619048,15,0,15,2.5784126984126985
79,R_3rUW4R8o2RDWKZB,45.57142857142857,14,1,15,3.038095238095238
80,R_1QDFcDrzwXtPhSw,51.547619047619044,15,0,15,3.4365079365079363
81,R_5dWeWShB7qgdljb,28.466666666666665,12,3,15,1.8977777777777776
82,R_18IHc8q1xLCnQHe,35.333333333333336,8,7,15,2.3555555555555556
83,R_6kgGwRyVnn2pfaN,42.42857142857143,15,0,15,2.8285714285714287
84,R_1HvLzzAFpuugjE9,31.833333333333332,10,5,15,2.1222222222222222
85,R_3hGCmhPK0roMNK6,27.2,14,1,15,1.8133333333333332
86,R_3wo5ExxrXHBVtdF,34.36666666666667,15,0,15,2.2911111111111113
87,R_3pECSJ1nV3ebG8v,33.0,15,0,15,2.2
88,R_3LYjBidWcX7T3mo,20.1,13,0,13,1.5461538461538462
89,R_3kvWEB9djiIi0IW,46.0,15,0,15,3.066666666666667
90,R_1FenkheohNSgeLu,29.647619047619045,15,0,15,1.9765079365079363
91,R_1PcY1LS2Mfhz64A,33.266666666666666,14,1,15,2.2177777777777776
92,R_32V2gkHfxz9ROBB,36.476190476190474,15,0,15,2.4317460317460315
93,R_6HAHLrUWhq9nby4,42.63333333333333,15,0,15,2.842222222222222
94,R_7Kuxq2JKf3BOKPH,41.476190476190474,14,1,15,2.765079365079365
95,R_6RqfSAN0DF8nnsa,44.57619047619048,15,0,15,2.971746031746032
96,R_1paSSMOwVWpJyn2,46.28571428571429,15,0,15,3.0857142857142863
97,R_7NhDTJ2fxewY5qh,34.36666666666666,15,0,15,2.291111111111111
98,R_5RvyCf53JoQh7Eg,43.18095238095238,13,2,15,2.8787301587301584
99,R_6YaCnTxmrtmyBmt,39.53333333333333,15,0,15,2.6355555555555554
